grid_size,j,k,r0,c0,sr,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,30,1,1,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_real,exp,r,c,spray_time,spray_count,dir,rad,angle,dis,,s0,s0_mag,,s0_min,s0_avg,s0_med,s0_max,s1,s1_mag,,s1_min,s1_avg,s1_med,s1_max,s2,s2_mag,,s2_min,s2_avg,s2_med,s2_max,s3,s3_mag,,s3_min,s3_avg,s3_med,s3_max
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:24:23,1,12,8,12:24:23,0:00:00,S,4.71238898,270,4,,0.13,0.02,0.03,0,0.017,0.02,0.02,0.25,0.01,0.02,0,0.011,0.01,0.02,0.35,0,0.01,0,0.005,0.01,0.02,0.21,0,0.01,0,0.003,0,0.01
12:24:24,1,12,8,12:24:23,0:00:01,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:24,1,12,8,12:24:23,0:00:01,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:25,1,12,8,12:24:23,0:00:02,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:25,1,12,8,12:24:23,0:00:02,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:26,1,12,8,12:24:23,0:00:03,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:26,1,12,8,12:24:23,0:00:03,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:27,1,12,8,12:24:23,0:00:04,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:27,1,12,8,12:24:23,0:00:04,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:28,1,12,8,12:24:23,0:00:05,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:28,1,12,8,12:24:23,0:00:05,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:29,1,12,8,12:24:23,0:00:06,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:29,1,12,8,12:24:23,0:00:06,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:30,1,12,8,12:24:23,0:00:07,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:30,1,12,8,12:24:23,0:00:07,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:31,1,12,8,12:24:23,0:00:08,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:31,1,12,8,12:24:23,0:00:08,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:32,1,12,8,12:24:23,0:00:09,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:32,1,12,8,12:24:23,0:00:09,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:33,1,12,8,12:24:23,0:00:10,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:33,1,12,8,12:24:23,0:00:10,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:34,1,12,8,12:24:23,0:00:11,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:34,1,12,8,12:24:23,0:00:11,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:35,1,12,8,12:24:23,0:00:12,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:35,1,12,8,12:24:23,0:00:12,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:36,1,12,8,12:24:23,0:00:13,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.36,0.01,0.02,,,,,0.21,0,0.01,,,,
12:24:37,1,12,8,12:24:23,0:00:14,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:37,1,12,8,12:24:23,0:00:14,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:38,1,12,8,12:24:23,0:00:15,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:38,1,12,8,12:24:23,0:00:15,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:39,1,12,8,12:24:23,0:00:16,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:39,1,12,8,12:24:23,0:00:16,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:39,1,12,8,12:24:23,0:00:16,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:40,1,12,8,12:24:23,0:00:17,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:40,1,12,8,12:24:23,0:00:17,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:41,1,12,8,12:24:23,0:00:18,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:42,1,12,8,12:24:23,0:00:19,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:42,1,12,8,12:24:23,0:00:19,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:43,1,12,8,12:24:23,0:00:20,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:43,1,12,8,12:24:23,0:00:20,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:44,1,12,8,12:24:23,0:00:21,S,4.71238898,270,4,,0.11,0,0.01,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:44,1,12,8,12:24:23,0:00:21,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:45,1,12,8,12:24:23,0:00:22,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:45,1,12,8,12:24:23,0:00:22,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:46,1,12,8,12:24:23,0:00:23,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:46,1,12,8,12:24:23,0:00:23,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:47,1,12,8,12:24:23,0:00:24,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:47,1,12,8,12:24:23,0:00:24,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:48,1,12,8,12:24:23,0:00:25,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:48,1,12,8,12:24:23,0:00:25,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:49,1,12,8,12:24:23,0:00:26,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:49,1,12,8,12:24:23,0:00:26,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:50,1,12,8,12:24:23,0:00:27,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:50,1,12,8,12:24:23,0:00:27,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:51,1,12,8,12:24:23,0:00:28,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:51,1,12,8,12:24:23,0:00:28,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:52,1,12,8,12:24:23,0:00:29,S,4.71238898,270,4,,0.13,0.02,0.03,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
12:24:52,1,12,8,12:24:23,0:00:29,S,4.71238898,270,4,,0.12,0.01,0.02,,,,,0.25,0.01,0.02,,,,,0.35,0,0.01,,,,,0.21,0,0.01,,,,
